"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","204","SkillDelivery test","","","","","setSkillImage negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","24","WorkValidator test","Work name tests","","","","Empty name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","136","SkillValidator test","Skill image tests","","","","Empty name image",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","476","HeroDelivery test","","","","","setPhone negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","119","WorkValidator test","Work date tests","","","","Empty href",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","139","SkillValidator test","Skill image tests","","","","51 letter filename image",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","273","SkillValidator test","Skill date tests","","","","Start > End",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","201","HeroValidator test","Hero resume tests","","","","Small resume",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","93","SkillDelivery test","","","","","createSkill negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","115","WorkValidator test","Work description tests","","","","99 letter description",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","118","WorkValidator test","Work description tests","","","","101 letter description",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","175","SkillDelivery test","","","","","setSkillDescription negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","439","WorkDelivery test","","","","","setHref negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","6","SkillDelivery test","","","","","getSkillNames positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","400","WorkDelivery test","","","","","setWorkDescription positive",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","199","SkillDelivery test","","","","","setSkillLink negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","4","Editor test","","","","","enable ownerShip with 1 event",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","280","SkillValidator test","Skill link tests","","","","Empty link",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","95","SkillDelivery test","","","","","deleteSkill positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","60","HeroValidator test","Hero name tests","","","","2 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","475","HeroDelivery test","","","","","setResume positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","370","WorkDelivery test","","","","","deleteWork negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","31","API tests","","","","","/api/user",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","303","HeroDelivery test","","","","","getActionChain negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","51","Editor test","Editor saveSkill","","","","owner, all valid",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","201","SkillDelivery test","","","","","setSkillImage positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","65","HeroValidator test","Hero surname tests","","","","19 letter surname",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","282","SkillValidator test","Skill link tests","","","","1 letter link",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","67","HeroValidator test","Hero lastname tests","","","","1 letter lastname",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","264","SkillValidator test","Skill name tests","","","","41 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","371","WorkDelivery test","","","","","setWorkName positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","217","WorkDelivery test","","","","","getWorkNames negative",""
